"","HomeSales","Date","Month","Year","Time"
"1999-01-01",291000,"1999-01-01",1,1999,1
"1999-02-01",293000,"1999-02-01",2,1999,2
"1999-03-01",412000,"1999-03-01",3,1999,3
"1999-04-01",454000,"1999-04-01",4,1999,4
"1999-05-01",472000,"1999-05-01",5,1999,5
"1999-06-01",560000,"1999-06-01",6,1999,6
"1999-07-01",528000,"1999-07-01",7,1999,7
"1999-08-01",529000,"1999-08-01",8,1999,8
"1999-09-01",432000,"1999-09-01",9,1999,9
"1999-10-01",417000,"1999-10-01",10,1999,10
"1999-11-01",395000,"1999-11-01",11,1999,11
"1999-12-01",401000,"1999-12-01",12,1999,12
"2000-01-01",286000,"2000-01-01",1,2000,13
"2000-02-01",310000,"2000-02-01",2,2000,14
"2000-03-01",420000,"2000-03-01",3,2000,15
"2000-04-01",432000,"2000-04-01",4,2000,16
"2000-05-01",489000,"2000-05-01",5,2000,17
"2000-06-01",541000,"2000-06-01",6,2000,18
"2000-07-01",492000,"2000-07-01",7,2000,19
"2000-08-01",533000,"2000-08-01",8,2000,20
"2000-09-01",443000,"2000-09-01",9,2000,21
"2000-10-01",434000,"2000-10-01",10,2000,22
"2000-11-01",408000,"2000-11-01",11,2000,23
"2000-12-01",385000,"2000-12-01",12,2000,24
"2001-01-01",295000,"2001-01-01",1,2001,25
"2001-02-01",305000,"2001-02-01",2,2001,26
"2001-03-01",438000,"2001-03-01",3,2001,27
"2001-04-01",454000,"2001-04-01",4,2001,28
"2001-05-01",506000,"2001-05-01",5,2001,29
"2001-06-01",557000,"2001-06-01",6,2001,30
"2001-07-01",535000,"2001-07-01",7,2001,31
"2001-08-01",566000,"2001-08-01",8,2001,32
"2001-09-01",420000,"2001-09-01",9,2001,33
"2001-10-01",443000,"2001-10-01",10,2001,34
"2001-11-01",405000,"2001-11-01",11,2001,35
"2001-12-01",409000,"2001-12-01",12,2001,36
"2002-01-01",342000,"2002-01-01",1,2002,37
"2002-02-01",344000,"2002-02-01",2,2002,38
"2002-03-01",438000,"2002-03-01",3,2002,39
"2002-04-01",502000,"2002-04-01",4,2002,40
"2002-05-01",543000,"2002-05-01",5,2002,41
"2002-06-01",542000,"2002-06-01",6,2002,42
"2002-07-01",544000,"2002-07-01",7,2002,43
"2002-08-01",549000,"2002-08-01",8,2002,44
"2002-09-01",457000,"2002-09-01",9,2002,45
"2002-10-01",481000,"2002-10-01",10,2002,46
"2002-11-01",430000,"2002-11-01",11,2002,47
"2002-12-01",459000,"2002-12-01",12,2002,48
"2003-01-01",352000,"2003-01-01",1,2003,49
"2003-02-01",350000,"2003-02-01",2,2003,50
